key,code,timePeriodStart,timePeriodEnd,location,instructor,email,link,draftMode,key:trainingModule
training-session-35,TS-B-001,2022/08/06 00:00,2022/08/13 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",Lo,a@b.es,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,training-module-02
training-session-36,TS-BB-002,2022/08/06 00:01,2022/08/13 00:01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",a@b.ese,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,training-module-02
training-session-37,TS-BBB-003,2200/12/24 23:58,2200/12/31 23:58,난쟁이들이여 영원하라,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",a@b.ess,https://www.lorem-ipsum.org,false,training-module-02
training-session-38,TS-ABC-024,2200/12/24 23:59,2200/12/31 23:59,لا أعرف ماذا أكتب,지미니 크리켓,a@b.comn,ftp://www.lorem-ipsum.org,false,training-module-03
training-session-39,TS-ZA-025,2028/02/28 00:00,2028/03/06 00:00,საქართველოს,لا أعرف ماذا أكتب,PedroPedroPedroPedroPedroPedroPedroPedroPedroPedroPedroPedroPedr@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomco,http://www.lorem-ipsum.org/dolor/sit.html,false,training-module-01
training-session-40,TS-ZAS-026,2000/01/07 00:00,2000/01/14 00:00,국민경제의 발전을,საქართველოს,PedroPedroPedroPedroPedroPedroPedroPedroPedroPedroPedroPedroPedr@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,http://www.lorem-ipsum.org/dolor/sit.html#dolor,false,training-module-01
training-session-41,TS-SZS-525,2200/12/24 23:59,2200/12/31 23:59,Рe,Dr,o@acme.com,http://example.org?a=1&b=2,false,training-module-02
training-session-42,TS-BRB-028,2022/07/30 00:00,2022/08/06 00:00,РeDRito,HoLaNdA,Da@acme.com,http://example.org?,false,training-module-02
training-session-43,TS-BR-029,2022/07/30 00:00,2022/08/06 00:01,MaR,Ia,No@acme.com,http://example.org?a,false,training-module-02
training-session-44,TS-YYY-303,2022/07/30 00:00,2200/12/31 23:58,الا أعرف ماذا أكتب,Jutland,jtland@acme.com,http://example.org?a&b,false,training-module-02
training-session-45,TS-WWW-330,2022/07/30 00:00,2200/12/31 23:59,Lо,Ip,Sum@acme.com,http://example.org/,false,training-module-10
training-session-46,TS-WW-333,2022/07/30 00:00,2028/02/28 00:00,Lorem ipsum,Ipsum,Sum@acme.com,http://example.org/a,false,training-module-10
training-session-47,TS-WWW-003,2022/07/30 00:00,2022/08/06 00:00,국민경제의 발전을,Lolo,Sum@acme.com,http://example.org/a/b,false,training-module-10
training-session-48,TS-P-066,2022/07/30 00:00,2022/08/06 00:00,LoLo,Ipanema,LoPi@acme.com,http://example.org/a/b?a&b,false,training-module-08
training-session-49,TS-LP-036,2022/07/30 00:00,2022/08/06 00:00,Trivero,Italia,LoroPiana@acme.com,http://www.lorem-ipsum.org,false,training-module-06
training-session-50,TS-PLE-010,2022/07/30 00:00,2022/08/06 00:00,Turin,Italia,LucaFaloni@acme.com,http://lc.com,false,training-module-04
training-session-51,TS-MR-012,2022/08/06 00:01,2022/08/13 00:01,Warszawa,"Maria Rozpara",marysia@acme.com,http://Niech-żyje-Warszawa.pl,true,training-module-01
